,head,relation,tail
0,0,0,1
1,2,1,3
2,4,2,5
3,6,3,7
4,8,4,9
5,10,5,11
6,12,6,13
7,14,7,15
8,16,8,17
9,18,9,19
10,20,10,21
11,22,11,23
12,24,12,25
13,26,13,27
14,28,14,29
15,30,15,31
16,32,16,33
17,34,17,35
18,36,18,37
19,38,19,39
20,40,20,41
21,42,21,43
22,44,22,45
23,46,23,47
24,48,24,49
25,50,25,51
26,52,26,53
27,54,27,55
28,56,28,57
29,58,29,59
30,60,30,61
31,62,31,63
32,64,32,65
33,66,33,67
34,68,34,69
35,70,35,71
36,72,36,73
37,74,37,75
38,76,38,77
39,78,2,79
40,80,39,81
41,82,40,83
42,84,41,85
43,86,6,87
44,88,42,89
45,90,43,91
46,92,44,93
47,94,45,95
48,96,46,97
49,98,47,99
50,100,48,101
51,102,49,103
52,104,50,105
53,106,2,107
54,108,51,109
55,110,52,89
56,111,53,112
57,113,54,114
58,115,7,116
59,117,55,118
60,119,56,120
61,121,57,122
62,123,58,124
63,125,46,126
64,127,59,128
65,129,60,130
66,131,61,132
67,133,62,134
68,135,63,136
69,137,64,138
70,139,65,140
71,141,66,142
72,143,67,144
73,145,46,146
74,147,62,148
75,149,68,150
76,151,45,152
77,153,11,154
78,155,69,156
79,157,70,158
80,159,71,160
81,161,72,162
82,163,73,164
83,165,61,166
84,167,74,168
85,169,75,170
86,171,76,172
87,173,77,174
88,175,78,176
89,177,79,178
90,179,80,180
91,181,81,182
92,183,45,184
93,185,2,186
94,187,82,188
95,189,83,190
96,191,84,192
97,193,85,194
98,195,86,196
99,197,45,197
100,198,87,199
101,200,88,201
102,202,89,203
103,204,90,205
104,206,58,207
105,208,53,209
106,210,91,211
107,212,92,213
108,214,93,215
109,216,94,217
110,218,95,219
111,220,96,221
112,222,97,223
113,224,98,225
114,226,99,227
115,228,100,229
116,230,101,231
117,232,102,233
118,234,103,235
119,236,104,237
120,238,105,239
121,240,106,241
122,242,107,243
123,244,108,245
124,246,109,247
125,248,110,249
126,250,111,251
127,104,112,252
128,253,113,254
129,255,14,256
130,257,114,258
131,259,115,260
132,261,116,262
133,263,117,264
134,265,88,266
135,267,118,268
136,269,119,270
137,271,120,272
138,273,45,274
139,275,121,276
140,277,122,278
141,279,123,280
142,281,124,282
143,283,27,284
144,285,125,286
145,287,126,288
146,289,8,290
147,291,127,292
148,293,128,294
149,295,2,296
150,297,129,298
151,299,130,300
152,301,131,302
153,303,132,304
154,305,133,306
155,307,57,308
156,309,134,310
157,311,135,312
158,313,136,314
159,315,102,316
160,317,137,318
161,319,138,320
162,321,31,322
163,323,8,324
164,325,139,326
165,327,140,328
166,329,141,330
167,331,142,332
168,333,99,334
169,335,88,336
170,337,143,338
171,339,144,340
172,341,145,342
173,343,45,344
174,345,146,346
175,347,81,348
176,349,147,350
177,351,79,352
178,353,36,354
179,355,148,356
180,357,21,358
181,143,149,359
182,360,105,361
183,362,46,363
184,364,150,365
185,366,14,367
186,368,46,369
187,370,151,371
188,372,152,373
189,16,153,374
190,311,154,375
191,376,155,377
192,378,156,379
193,380,157,381
194,382,51,383
195,384,32,385
196,386,158,387
197,388,80,389
198,390,159,391
199,392,160,393
200,394,161,395
201,396,162,397
202,398,79,399
203,400,163,401
204,402,164,403
205,404,165,405
206,193,166,406
207,407,167,408
208,409,105,410
209,411,168,412
210,413,109,414
211,415,112,416
212,417,169,418
213,419,170,420
214,421,171,422
215,423,172,424
216,425,164,426
217,427,173,428
218,429,117,430
219,431,39,432
